Ticker,Company,Sector,Current Price,Market Cap (Cr),PE Ratio,PB Ratio,Dividend Yield %,ROE %,Profit Margin %,Revenue Growth %,Earnings Growth %,Debt/Equity,RSI,Return 1M %,Return 3M %,Return 6M %,Return 1Y %,Volatility %,52W High,52W Low,Target Price,Upside %,Valuation Score,Growth Score,Combined Score,Recommendation,Beta,SMA_50,SMA_200
COALINDIA.NS,Coal India,Energy,458.15,282345.0,9.08,2.37,4.8,28.12,18.46,16.2,12.9,11.63,38.87,-1.9,8.17,22.74,,21.5,491.25,368.65,450.80768,-1.6,10,79.2,14.3,hold,0.0,456.71,406.67
COALINDIA.NS,Coal India,Metals & Mining,458.15,282345.0,9.08,2.37,4.8,28.12,18.46,16.2,12.9,11.63,38.87,-1.9,8.17,22.74,,21.5,491.25,368.65,450.80768,-1.6,10,79.2,14.3,hold,0.0,456.71,406.67
OBEROIRLTY.NS,Oberoi Realty,Real Estate,1693.7,61583.0,24.54,3.68,0.47,14.91,41.73,52.1,62.4,15.77,53.7,-1.6,12.85,-0.61,,26.11,2005.0,1391.2,1823.6154,7.67,24,100.0,14.4,buy,0.33,1602.06,1617.19
TMCV.NS,Tata Motors CV,Auto,385.1,141813.0,46.79,11.13,1.01,26.05,3.57,19.4,33.4,44.09,25.45,-7.94,-18.57,18.82,,41.65,509.0,306.3,466.63635,21.17,24,100.0,14.4,buy,,414.32,
GRSE.NS,Garden Reach Shipbuilders,DEFENCE,2662.5,30499.0,44.23,11.61,1.0,31.79,10.68,29.1,24.2,1.42,29.52,-7.4,7.48,-5.22,,50.19,3538.4,1963.7,3075.25,15.5,24,100.0,14.4,buy,0.79,2601.24,2543.65
MAZDOCK.NS,Mazagon Dock Shipbuilders,DEFENCE,2460.1,99236.0,38.45,10.17,0.78,28.77,19.86,21.3,109.0,4.48,32.09,-8.32,4.23,-10.11,,35.39,3775.0,2057.4,2851.4443,15.91,24,100.0,14.4,none,0.67,2483.45,2577.73
BPCL.NS,BPCL,Energy,304.6,130143.0,5.04,1.3,6.49,28.47,5.68,6.7,28.0,54.33,44.4,-1.02,-16.84,-14.09,,29.18,391.65,266.6,337.35483,10.75,9,73.4,16.0,hold,0.96,298.09,329.27
HINDCOPPER.NS,Hindustan Copper,Metals & Mining,556.0,53767.0,58.59,18.13,0.45,30.6,29.84,58.1,136.6,3.32,51.65,-0.07,-2.29,77.27,,55.14,760.05,226.7,715.0,28.6,28,100.0,16.8,strong_buy,1.5,532.77,433.23
PERSISTENT.NS,Persistent Systems,IT,5105.8,79768.0,42.94,10.19,0.87,26.35,12.65,25.1,32.1,6.09,53.4,6.29,0.27,-18.62,,31.45,6599.0,4449.1,5596.647,9.61,30,100.0,18.0,buy,0.09,4992.07,5528.41
PNB.NS,Punjab National Bank,Banking,105.91,121722.0,6.62,0.82,2.82,12.98,31.22,15.2,1.9,,40.34,-4.92,-18.27,-13.45,,27.47,135.15,98.5,119.70588,13.03,4,59.8,18.5,none,0.6,108.42,115.49
PHOENIXLTD.NS,Phoenix Mills,Real Estate,1785.4,63853.0,50.85,5.92,14.0,11.06,27.67,33.7,50.0,37.21,41.01,-0.79,2.46,4.1,,27.12,1993.0,1402.5,2009.7,12.56,33,100.0,19.8,buy,0.33,1698.74,1684.22
TCS.NS,TCS,IT,2276.2,823549.0,16.74,7.26,5.37,48.4,18.43,9.6,12.2,10.39,30.88,-5.63,-14.11,-25.44,,21.89,3540.0,2206.4,2939.5813,29.14,17,75.9,19.8,buy,0.29,2392.31,2818.46
SOBHA.NS,Sobha Ltd,Real Estate,1419.0,15177.0,105.97,3.21,0.43,4.17,3.73,60.2,124.3,22.4,41.8,-1.17,-6.27,-8.86,,33.3,1732.5,1130.0,1787.4117,25.96,34,100.0,20.4,strong_buy,0.35,1340.55,1463.45
COFORGE.NS,Coforge,IT,1422.8,61180.0,32.41,5.01,1.14,18.6,9.48,30.5,134.0,7.52,67.21,18.48,6.13,-20.66,,36.08,1994.0,1008.1,1644.8529,15.61,35,100.0,21.0,buy,0.16,1235.17,1559.64
PRESTIGE.NS,Prestige Estates,Real Estate,1402.2,60397.0,50.53,3.82,13.0,8.0,9.42,166.5,901.7,105.49,41.06,-0.03,-5.7,-16.96,,31.33,1814.0,1090.0,1812.6522,29.27,36,100.0,21.6,strong_buy,0.44,1334.31,1524.61
FEDERALBNK.NS,Federal Bank,Banking,290.2,71515.0,16.61,1.79,0.41,11.73,29.91,12.3,22.2,,46.81,-0.14,-0.82,18.42,,24.52,302.0,185.11,315.7647,8.81,27,83.8,22.7,none,0.33,281.78,251.16
BAJAJ-AUTO.NS,Bajaj Auto,Auto,10593.0,295833.0,27.59,7.62,1.43,28.05,16.51,48.8,103.1,56.29,56.75,11.56,8.01,19.13,,21.93,10785.0,7858.5,10744.975,1.43,38,100.0,22.8,buy,0.71,9710.28,9280.02
